"","id","user_id","course_id"
"1",1,18,88
"2",2,19,104
"3",3,19,215
"4",4,19,215
"5",5,18,88
"6",6,114,37
"7",7,19,104
"8",8,202,154
"9",9,18,88
"10",10,20,31
"11",11,19,104
"12",12,20,31
"13",13,202,154
"14",14,19,104
"15",15,475,112
"16",16,475,112
"17",17,114,37
"18",18,22,31
"19",19,23,31
"20",20,12,79
"21",21,23,31
"22",22,19,104
"23",23,24,31
"24",24,18,88
"25",25,18,88
"26",26,18,88
"27",27,24,31
"28",28,18,88
"29",29,21,88
"30",30,21,88
"31",31,248,88
"32",32,21,88
"33",33,21,88
"34",34,114,104
"35",35,26,169
"36",36,26,133
"37",37,21,88
"38",38,21,88
"39",39,248,88
"40",40,21,88
"41",41,21,88
"42",42,21,88
"43",43,21,88
"44",44,21,88
"45",45,248,88
"46",46,21,88
"47",47,369,144
"48",48,18,88
"49",49,248,88
"50",50,20,31
"51",51,248,88
"52",52,114,104
"53",53,114,104
"54",54,114,104
"55",55,27,31
"56",56,27,31
"57",57,23,31
"58",58,248,88
"59",59,24,31
"60",60,20,31
"61",61,248,88
"62",62,29,31
"63",63,248,88
"64",64,29,31
"65",65,21,67
"66",66,248,88
"67",67,30,34
"68",68,21,67
"69",69,27,31
"70",70,21,67
"71",71,30,34
"72",72,21,67
"73",73,248,88
"74",74,248,88
"75",75,248,88
"76",76,369,88
"77",77,21,67
"78",78,10,174
"79",79,32,88
"80",80,21,67
"81",81,32,88
"82",82,202,136
"83",83,202,136
"84",84,202,161
"85",85,21,67
"86",86,21,67
"87",87,6,58
"88",88,32,88
"89",89,34,31
"90",90,30,34
"91",91,114,37
"92",92,34,31
"93",93,32,88
"94",94,32,88
"95",95,36,31
"96",96,32,88
"97",97,12,79
"98",98,12,58
"99",99,12,130
"100",100,32,88
"101",101,32,88
"102",102,32,88
"103",103,32,88
"104",104,32,88
"105",105,32,88
"106",106,91,134
"107",107,91,134
"108",108,38,12
"109",109,38,12
"110",110,14,134
"111",111,18,88
"112",112,349,147
"113",113,349,147
"114",114,349,147
"115",115,349,147
"116",116,41,31
"117",117,38,12
"118",118,349,36
"119",119,42,31
"120",120,18,88
"121",121,349,36
"122",122,38,12
"123",123,91,134
"124",124,349,36
"125",125,32,91
"126",126,349,36
"127",127,32,78
"128",128,349,36
"129",129,349,36
"130",130,91,134
"131",131,349,36
"132",132,32,78
"133",133,43,18
"134",134,28,88
"135",135,41,31
"136",136,44,81
"137",137,44,81
"138",138,48,12
"139",139,29,31
